MI School Data,
"Educator Effectiveness Snapshot
Statewide: 2015-16 / Teachers",
School Year,Location Name,Location Type,Location Code,Assignment Type,Total Count,HighlyEffective Count,Effective Count,MinimallyEffective Count,Effective Or More Count ,Minimally Effective Or Less Count,Ineffective Count,Highly Effective Percentage,Effective Percentage,Effective Or More Percentage,Minimally Effective Percentage,Minimally Effective Or Less Percentage,Ineffective Percentage,
2011-12,Statewide,Statewide,00,Teacher,"95,974","21,638","71,614","1,954","93,252","2,722",768,23%,75%,97%,2%,3%,1%,
2016-17,Statewide,Statewide,00,Teacher,"94,011","36,464","55,554","1,651","92,018","1,993",342,39%,59%,98%,2%,2%,0%,
2013-14,Statewide,Statewide,00,Teacher,"95,885","36,384","56,814","2,168","93,198","2,687",519,38%,59%,97%,2%,3%,1%,
2015-16,Statewide,Statewide,00,Teacher,"94,164","39,327","52,514","1,923","91,841","2,323",400,42%,56%,98%,2%,2%,0%,
2014-15,Statewide,Statewide,00,Teacher,"94,972","39,475","53,064","1,970","92,539","2,433",463,42%,56%,97%,2%,3%,0%,
2012-13,Statewide,Statewide,00,Teacher,"96,296","31,365","62,023","2,319","93,388","2,908",589,33%,64%,97%,2%,3%,1%,
2011-12,Academic and Career Education Academy,District,56903,Teacher,11,3,6,0,9,2,2,27%,55%,82%,0%,18%,18%,
2011-12,Academy for Business and Technology,District,82921,Teacher,44,6,38,0,44,0,0,14%,86%,100%,0%,0%,0%,
2011-12,Detroit West Preparatory Academy,District,82909,Teacher,22,4,15,1,19,3,2,18%,68%,86%,5%,14%,9%,
2011-12,Anchor Bay School District,District,50040,Teacher,318,56,259,3,315,3,0,18%,81%,99%,1%,1%,0%,
2011-12,Ann Arbor Learning Community,District,81904,Teacher,16,4,12,0,16,0,0,25%,75%,100%,0%,0%,0%,
2011-12,Ann Arbor Public Schools,District,81010,Teacher,"1,220",0,"1,219",1,"1,219",1,0,0%,100%,100%,8%,8%,0%,
2011-12,Arbor Academy,District,13901,Teacher,24,13,11,0,24,0,0,54%,46%,100%,0%,0%,0%,
2011-12,Arenac Eastern School District,District,06010,Teacher,26,0,26,0,26,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Armada Area Schools,District,50050,Teacher,125,15,110,0,125,0,0,12%,88%,100%,0%,0%,0%,
2011-12,Arts Academy in the Woods,District,50905,Teacher,21,2,19,0,21,0,0,10%,90%,100%,0%,0%,0%,
2011-12,Arts and Technology Academy of Pontiac,District,63915,Teacher,30,10,17,0,27,3,3,33%,57%,90%,0%,10%,10%,
2011-12,Arvon Township School District,District,07010,Teacher,2,0,2,0,2,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Ashley Community Schools,District,29020,Teacher,32,0,32,0,32,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Athens Area Schools,District,13050,Teacher,41,0,41,0,41,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Atherton Community Schools,District,25130,Teacher,56,9,43,1,52,4,3,16%,77%,93%,2%,7%,5%,
2011-12,Atlanta Community Schools,District,60010,Teacher,24,2,22,0,24,0,0,8%,92%,100%,0%,0%,0%,
2011-12,Au Gres-Sims School District,District,06020,Teacher,24,15,6,3,21,3,0,63%,25%,88%,13%,13%,0%,
2011-12,Academy of Flint,District,25908,Teacher,28,0,19,0,19,9,9,0%,68%,68%,0%,32%,32%,
2011-12,Academy of Southfield,District,63903,Teacher,26,1,25,0,26,0,0,4%,96%,100%,0%,0%,0%,
2011-12,Academy of Warren,District,50911,Teacher,50,1,44,1,45,5,4,2%,88%,90%,2%,10%,8%,
2011-12,Academy of Waterford,District,63916,Teacher,15,0,15,0,15,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Academy of Westland,District,82912,Teacher,28,0,28,0,28,0,0,0%,100%,100%,0%,0%,0%,
2011-12,ACE Academy (SDA),District,82998,Teacher,19,12,4,2,16,3,1,63%,21%,84%,11%,16%,5%,
2011-12,Achieve Charter Academy,District,82717,Teacher,35,4,30,1,34,1,0,11%,86%,97%,3%,3%,0%,
2011-12,Adams Township School District,District,31020,Teacher,26,13,13,0,26,0,0,50%,50%,100%,0%,0%,0%,
2011-12,Addison Community Schools,District,46020,Teacher,52,4,48,0,52,0,0,8%,92%,100%,0%,0%,0%,
2011-12,Adrian Public Schools,District,46010,Teacher,214,27,177,5,204,10,5,13%,83%,95%,2%,5%,2%,
2011-12,Advanced Technology Academy,District,63914,Teacher,88,0,88,0,88,0,0,0%,100%,100%,0%,0%,0%,
2011-12,AGBU Alex-Marie Manoogian School,District,63901,Teacher,26,13,13,0,26,0,0,50%,50%,100%,0%,0%,0%,
2011-12,Airport Community Schools,District,58020,Teacher,148,64,82,2,146,2,0,43%,55%,99%,1%,1%,0%,
2011-12,Aisha Shule/WEB Dubois Prep. Academy School,District,82903,Teacher,16,4,11,0,15,1,1,25%,69%,94%,0%,6%,6%,
2011-12,Akron-Fairgrove Schools,District,79010,Teacher,20,0,20,0,20,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Alanson Public Schools,District,24030,Teacher,22,0,20,1,20,2,1,0%,91%,91%,5%,9%,5%,
2011-12,Alba Public Schools,District,05010,Teacher,15,0,15,0,15,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Albion Public Schools,District,13010,Teacher,61,6,55,0,61,0,0,10%,90%,100%,0%,0%,0%,
2011-12,Alcona Community Schools,District,01010,Teacher,43,1,42,0,43,0,0,2%,98%,100%,0%,0%,0%,
2011-12,Algonac Community School District,District,74030,Teacher,115,2,112,1,114,1,0,2%,97%,99%,1%,1%,0%,
2011-12,Allegan Public Schools,District,03030,Teacher,167,38,127,2,165,2,0,23%,76%,99%,1%,1%,0%,
2011-12,Allen Academy,District,82955,Teacher,50,0,47,0,47,3,3,0%,94%,94%,0%,6%,6%,
2011-12,Allen Park Public Schools,District,82020,Teacher,197,0,197,0,197,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Allendale Public Schools,District,70040,Teacher,146,52,93,1,145,1,0,36%,64%,99%,1%,1%,0%,
2011-12,Alma Public Schools,District,29010,Teacher,141,14,122,3,136,5,2,10%,87%,96%,2%,4%,1%,
2011-12,Almont Community Schools,District,44020,Teacher,88,0,88,0,88,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Alpena Public Schools,District,04010,Teacher,233,9,222,2,231,2,0,4%,95%,99%,1%,1%,0%,
2011-12,American Montessori Academy,District,82981,Teacher,26,4,18,1,22,4,3,15%,69%,85%,4%,15%,12%,
2011-12,AuTrain-Onota Public Schools,District,02010,Teacher,7,7,0,0,7,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Avondale School District,District,63070,Teacher,218,107,111,0,218,0,0,49%,51%,100%,0%,0%,0%,
2011-12,Bad Axe Public Schools,District,32010,Teacher,74,1,73,0,74,0,0,1%,99%,100%,0%,0%,0%,
2011-12,Baldwin Community Schools,District,43040,Teacher,53,2,49,2,51,2,0,4%,92%,96%,4%,4%,0%,
2011-12,Bangor Public Schools (Van Buren),District,80020,Teacher,78,46,31,1,77,1,0,59%,40%,99%,1%,1%,0%,
2011-12,Bangor Township S/D #8,District,80240,Teacher,2,2,0,0,2,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Bangor Township Schools,District,09030,Teacher,136,7,115,10,122,14,4,5%,85%,90%,7%,10%,3%,
2011-12,Baraga Area Schools,District,07020,Teacher,45,6,38,1,44,1,0,13%,84%,98%,2%,2%,0%,
2011-12,Bark River-Harris School District,District,21090,Teacher,42,26,14,0,40,2,2,62%,33%,95%,0%,5%,5%,
2011-12,Bath Community Schools,District,19100,Teacher,60,17,40,2,57,3,1,28%,67%,95%,3%,5%,2%,
2011-12,Battle Creek Area Learning Center,District,13904,Teacher,13,3,9,1,12,1,0,23%,69%,92%,8%,8%,0%,
2011-12,Battle Creek Public Schools,District,13020,Teacher,403,143,245,15,388,15,0,35%,61%,96%,4%,4%,0%,
