MI School Data,
Educator Effectiveness Trend Statewide: 2018-19 / Teachers,
School Year,Location Name,Location Type,Location Code,Assignment Type,Total Count,HighlyEffective Count,Effective Count,MinimallyEffective Count,Effective Or More Count ,Minimally Effective Or Less Count,Ineffective Count,Highly Effective Percentage,Effective Percentage,Effective Or More Percentage,Minimally Effective Percentage,Minimally Effective Or Less Percentage,Ineffective Percentage,
2011-12,Academic and Career Education Academy,District,56903,Teacher,11,3,6,0,9,2,2,27%,55%,82%,0%,18%,18%,
2011-12,Academy for Business and Technology,District,82921,Teacher,44,6,38,0,44,0,0,14%,86%,100%,0%,0%,0%,
2011-12,Academy of Flint,District,25908,Teacher,28,0,19,0,19,9,9,0%,68%,68%,0%,32%,32%,
2011-12,Academy of Southfield,District,63903,Teacher,26,1,25,0,26,0,0,4%,96%,100%,0%,0%,0%,
2011-12,Academy of Warren,District,50911,Teacher,50,1,44,1,45,5,4,2%,88%,90%,2%,10%,8%,
2011-12,Academy of Waterford,District,63916,Teacher,15,0,15,0,15,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Academy of Westland,District,82912,Teacher,28,0,28,0,28,0,0,0%,100%,100%,0%,0%,0%,
2011-12,ACE Academy (SDA),District,82998,Teacher,19,12,4,2,16,3,1,63%,21%,84%,11%,16%,5%,
2011-12,Achieve Charter Academy,District,82717,Teacher,35,4,30,1,34,1,0,11%,86%,97%,3%,3%,0%,
2011-12,Adams Township School District,District,31020,Teacher,26,13,13,0,26,0,0,50%,50%,100%,0%,0%,0%,
2011-12,Addison Community Schools,District,46020,Teacher,52,4,48,0,52,0,0,8%,92%,100%,0%,0%,0%,
2011-12,Adrian Public Schools,District,46010,Teacher,214,27,177,5,204,10,5,13%,83%,95%,2%,5%,2%,
2011-12,Advanced Technology Academy,District,63914,Teacher,88,0,88,0,88,0,0,0%,100%,100%,0%,0%,0%,
2011-12,AGBU Alex-Marie Manoogian School,District,63901,Teacher,26,13,13,0,26,0,0,50%,50%,100%,0%,0%,0%,
2011-12,Airport Community Schools,District,58020,Teacher,148,64,82,2,146,2,0,43%,55%,99%,1%,1%,0%,
2011-12,Aisha Shule/WEB Dubois Prep. Academy School,District,82903,Teacher,16,4,11,0,15,1,1,25%,69%,94%,0%,6%,6%,
2011-12,Akron-Fairgrove Schools,District,79010,Teacher,20,0,20,0,20,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Alanson Public Schools,District,24030,Teacher,22,0,20,1,20,2,1,0%,91%,91%,5%,9%,5%,
2011-12,Alba Public Schools,District,05010,Teacher,15,0,15,0,15,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Albion Public Schools,District,13010,Teacher,61,6,55,0,61,0,0,10%,90%,100%,0%,0%,0%,
2011-12,Alcona Community Schools,District,01010,Teacher,43,1,42,0,43,0,0,2%,98%,100%,0%,0%,0%,
2011-12,Algonac Community School District,District,74030,Teacher,115,2,112,1,114,1,0,2%,97%,99%,1%,1%,0%,
2011-12,Allegan Area Educational Service Agency  - District created from ISD,District,03000,Teacher,41,5,35,1,40,1,0,12%,85%,98%,2%,2%,0%,
2011-12,Allegan Public Schools,District,03030,Teacher,167,38,127,2,165,2,0,23%,76%,99%,1%,1%,0%,
2011-12,Allen Academy,District,82955,Teacher,50,0,47,0,47,3,3,0%,94%,94%,0%,6%,6%,
2011-12,Allen Park Public Schools,District,82020,Teacher,197,0,197,0,197,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Allendale Public Schools,District,70040,Teacher,146,52,93,1,145,1,0,36%,64%,99%,1%,1%,0%,
2011-12,Alma Public Schools,District,29010,Teacher,141,14,122,3,136,5,2,10%,87%,96%,2%,4%,1%,
2011-12,Almont Community Schools,District,44020,Teacher,88,0,88,0,88,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Alpena Public Schools,District,04010,Teacher,233,9,222,2,231,2,0,4%,95%,99%,1%,1%,0%,
2011-12,Alpena-Montmorency-Alcona ESD  - District created from ISD,District,04000,Teacher,6,0,6,0,6,0,0,0%,100%,100%,0%,0%,0%,
2011-12,American International Academy,District,82730,Teacher,8,0,4,4,4,4,0,0%,50%,50%,50%,50%,0%,
2011-12,American Montessori Academy,District,82981,Teacher,26,4,18,1,22,4,3,15%,69%,85%,4%,15%,12%,
2011-12,Anchor Bay School District,District,50040,Teacher,318,56,259,3,315,3,0,18%,81%,99%,1%,1%,0%,
2011-12,Ann Arbor Learning Community,District,81904,Teacher,16,4,12,0,16,0,0,25%,75%,100%,0%,0%,0%,
2011-12,Ann Arbor Public Schools,District,81010,Teacher,"1,220",0,"1,219",1,"1,219",1,0,0%,100%,100%,8%,8%,0%,
2011-12,Arbor Academy,District,13901,Teacher,24,13,11,0,24,0,0,54%,46%,100%,0%,0%,0%,
2011-12,Arbor Preparatory High School,District,81909,Teacher,12,0,12,0,12,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Arenac Eastern School District,District,06010,Teacher,26,0,26,0,26,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Armada Area Schools,District,50050,Teacher,125,15,110,0,125,0,0,12%,88%,100%,0%,0%,0%,
2011-12,Arts Academy in the Woods,District,50905,Teacher,21,2,19,0,21,0,0,10%,90%,100%,0%,0%,0%,
2011-12,Arts and Technology Academy of Pontiac,District,63915,Teacher,30,10,17,0,27,3,3,33%,57%,90%,0%,10%,10%,
2011-12,Arvon Township School District,District,07010,Teacher,2,0,2,0,2,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Ashley Community Schools,District,29020,Teacher,32,0,32,0,32,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Athens Area Schools,District,13050,Teacher,41,0,41,0,41,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Atherton Community Schools,District,25130,Teacher,56,9,43,1,52,4,3,16%,77%,93%,2%,7%,5%,
2011-12,Atlanta Community Schools,District,60010,Teacher,24,2,22,0,24,0,0,8%,92%,100%,0%,0%,0%,
2011-12,Au Gres-Sims School District,District,06020,Teacher,24,15,6,3,21,3,0,63%,25%,88%,13%,13%,0%,
2011-12,AuTrain-Onota Public Schools,District,02010,Teacher,7,7,0,0,7,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Avondale School District,District,63070,Teacher,218,107,111,0,218,0,0,49%,51%,100%,0%,0%,0%,
2011-12,Bad Axe Public Schools,District,32010,Teacher,74,1,73,0,74,0,0,1%,99%,100%,0%,0%,0%,
2011-12,Baldwin Community Schools,District,43040,Teacher,53,2,49,2,51,2,0,4%,92%,96%,4%,4%,0%,
2011-12,Bangor Public Schools (Van Buren),District,80020,Teacher,78,46,31,1,77,1,0,59%,40%,99%,1%,1%,0%,
2011-12,Bangor Township S/D #8,District,80240,Teacher,2,2,0,0,2,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Bangor Township Schools,District,09030,Teacher,136,7,115,10,122,14,4,5%,85%,90%,7%,10%,3%,
