name,e4,e3,e2,e1,eu,et,year,state,localid
21st Century Charter Sch of Gary,31,NA,NA,11,7,49,2014,IN,9545
21st Century Charter Sch of Gary,NA,NA,NA,NA,NA,NA,2015,IN,9545
21st Century Charter Sch of Gary,3,5,NA,NA,7,15,2016,IN,9545
21st Century Charter Sch of Gary,4,17,1,NA,15,37,2017,IN,9545
21st Century Charter Sch of Gary,3,20,NA,NA,21,44,2018,IN,9545
21st Century Charter Sch of Gary,14,15,2,NA,13,44,2019,IN,9545
ACE Preparatory Academy,NA,3,NA,NA,1,4,2017,IN,9970
ACE Preparatory Academy,NA,6,NA,NA,NA,6,2018,IN,9970
ACE Preparatory Academy,6,2,NA,NA,NA,8,2019,IN,9970
Adams Central Community Schools,73,22,0,0,0,95,2013,IN,15
Adams Central Community Schools,91,4,1,NA,NA,96,2014,IN,0015
Adams Central Community Schools,116,10,1,NA,NA,127,2015,IN,0015
Adams Central Community Schools,60,53,NA,NA,1,114,2016,IN,0015
Adams Central Community Schools,72,19,NA,NA,4,95,2017,IN,0015
Adams Central Community Schools,78,11,NA,NA,4,93,2018,IN,0015
Adams Central Community Schools,65,28,NA,NA,3,96,2019,IN,0015
Alexandria Com School Corp,48,49,2,0,7,106,2013,IN,5265
Alexandria Com School Corp,53,39,NA,NA,8,100,2014,IN,5265
Alexandria Community School Corp,56,42,NA,NA,9,107,2015,IN,5265
Alexandria Community School Corp,48,46,1,NA,9,104,2016,IN,5265
Alexandria Community School Corp,53,41,1,NA,5,100,2017,IN,5265
Alexandria Community School Corp,53,37,1,NA,11,102,2018,IN,5265
Alexandria Community School Corp,51,42,2,NA,1,96,2019,IN,5265
Allegiant Preparatory Academy,NA,NA,2,1,2,5,2019,IN,NA
Anderson Community School Corp,6,18,NA,NA,555,579,2015,IN,5275
Anderson Community School Corp,164,336,13,NA,88,601,2016,IN,5275
Anderson Community School Corp,314,158,5,10,74,561,2017,IN,5275
Anderson Community School Corp,360,131,4,NA,66,561,2018,IN,5275
Anderson Community School Corp,401,87,1,1,81,571,2019,IN,5275
Anderson Preparatory Academy,46,28,2,NA,8,84,2014,IN,9790
Anderson Preparatory Academy,37,14,1,NA,9,61,2015,IN,9790
Anderson Preparatory Academy,41,30,NA,NA,2,73,2016,IN,9790
Anderson Preparatory Academy,42,27,NA,NA,4,73,2017,IN,9790
Anderson Preparatory Academy,30,37,3,1,3,74,2018,IN,9790
Anderson Preparatory Academy,31,27,NA,NA,3,61,2019,IN,9790
Andrew Academy,NA,19,NA,NA,1,20,2014,IN,9715
Andrew J Brown Academy,1,11,19,7,10,48,2014,IN,9615
Andrew J Brown Academy,2,12,19,3,6,42,2015,IN,9615
Andrew J Brown Academy,NA,27,11,3,3,44,2016,IN,9615
Andrew J Brown Academy,1,27,8,6,5,47,2017,IN,9615
Andrew J Brown Academy,NA,33,13,2,NA,48,2018,IN,9615
Andrew J Brown Academy,NA,34,10,1,1,46,2019,IN,9615
Area 30 Career Center Edu Inter,0,16,0,1,1,18,2013,IN,6700
Area 30 Career Center Edu Inter,NA,18,NA,NA,NA,18,2014,IN,6700
Area 30 Career Center Edu Inter,10,9,NA,NA,NA,19,2015,IN,6700
Area 30 Career Center Edu Inter,8,12,NA,NA,NA,20,2016,IN,6700
Area 30 Career Center Edu Inter,7,11,NA,NA,NA,18,2017,IN,6700
Area 30 Career Center Edu Inter,6,12,NA,NA,NA,18,2018,IN,6700
Area 30 Career Center Edu Inter,9,8,NA,NA,NA,17,2019,IN,6700
Argos Community Schools,9,42,0,2,0,53,2013,IN,5470
Argos Community Schools,18,23,NA,NA,10,51,2014,IN,5470
Argos Community Schools,NA,44,4,NA,4,52,2015,IN,5470
Argos Community Schools,4,43,3,NA,NA,50,2016,IN,5470
Argos Community Schools,7,35,1,NA,3,46,2017,IN,5470
Argos Community Schools,6,31,5,NA,6,48,2018,IN,5470
Argos Community Schools,6,33,2,NA,11,52,2019,IN,5470
Aspire Charter Academy,7,27,7,4,NA,45,2014,IN,9685
Aspire Charter Academy,19,19,5,1,5,49,2015,IN,9685
Aspire Charter Academy,3,29,8,3,7,50,2016,IN,9685
