state,year,name,localid,et,e4,e3,e2,e1
MI,2012,academic and career education academy,56903,11,3,6,0,2
MI,2012,academy for business and technology,82921,44,6,38,0,0
MI,2012,academy of flint,25908,28,0,19,0,9
MI,2012,academy of southfield,63903,26,1,25,0,0
MI,2012,academy of warren,50911,50,1,44,1,4
MI,2012,academy of waterford,63916,15,0,15,0,0
MI,2012,academy of westland,82912,28,0,28,0,0
MI,2012,ace academy (sda),82998,19,12,4,2,1
MI,2012,achieve charter academy,82717,35,4,30,1,0
MI,2012,adams township school district,31020,26,13,13,0,0
MI,2012,addison community schools,46020,52,4,48,0,0
MI,2012,adrian public schools,46010,214,27,177,5,5
MI,2012,advanced technology academy,63914,88,0,88,0,0
MI,2012,agbu alex-marie manoogian school,63901,26,13,13,0,0
MI,2012,airport community schools,58020,148,64,82,2,0
MI,2012,aisha shule/web dubois prep. academy school,82903,16,4,11,0,1
MI,2012,akron-fairgrove schools,79010,20,0,20,0,0
MI,2012,alanson public schools,24030,22,0,20,1,1
MI,2012,alba public schools,5010,15,0,15,0,0
MI,2012,albion public schools,13010,61,6,55,0,0
MI,2012,alcona community schools,1010,43,1,42,0,0
MI,2012,algonac community school district,74030,115,2,112,1,0
MI,2012,allegan area educational service agency  - district created from isd,3000,41,5,35,1,0
MI,2012,allegan public schools,3030,167,38,127,2,0
MI,2012,allen academy,82955,50,0,47,0,3
MI,2012,allen park public schools,82020,197,0,197,0,0
MI,2012,allendale public schools,70040,146,52,93,1,0
MI,2012,alma public schools,29010,141,14,122,3,2
MI,2012,almont community schools,44020,88,0,88,0,0
MI,2012,alpena public schools,4010,233,9,222,2,0
MI,2012,alpena-montmorency-alcona esd  - district created from isd,4000,6,0,6,0,0
MI,2012,american international academy,82730,8,0,4,4,0
MI,2012,american montessori academy,82981,26,4,18,1,3
MI,2012,anchor bay school district,50040,318,56,259,3,0
MI,2012,ann arbor learning community,81904,16,4,12,0,0
MI,2012,ann arbor public schools,81010,1220,0,1219,1,0
MI,2012,arbor academy,13901,24,13,11,0,0
MI,2012,arbor preparatory high school,81909,12,0,12,0,0
MI,2012,arenac eastern school district,6010,26,0,26,0,0
MI,2012,armada area schools,50050,125,15,110,0,0
MI,2012,arts academy in the woods,50905,21,2,19,0,0
MI,2012,arts and technology academy of pontiac,63915,30,10,17,0,3
MI,2012,arvon township school district,7010,2,0,2,0,0
MI,2012,ashley community schools,29020,32,0,32,0,0
MI,2012,athens area schools,13050,41,0,41,0,0
MI,2012,atherton community schools,25130,56,9,43,1,3
MI,2012,atlanta community schools,60010,24,2,22,0,0
MI,2012,au gres-sims school district,6020,24,15,6,3,0
MI,2012,autrain-onota public schools,2010,7,7,0,0,0
MI,2012,avondale school district,63070,218,107,111,0,0
MI,2012,bad axe public schools,32010,74,1,73,0,0
MI,2012,baldwin community schools,43040,53,2,49,2,0
MI,2012,bangor public schools (van buren),80020,78,46,31,1,0
MI,2012,bangor township s/d #8,80240,2,2,0,0,0
MI,2012,bangor township schools,9030,136,7,115,10,4
MI,2012,baraga area schools,7020,45,6,38,1,0
MI,2012,bark river-harris school district,21090,42,26,14,0,2
MI,2012,barry isd  - district created from isd,8000,5,4,1,0,0
MI,2012,bath community schools,19100,60,17,40,2,1
MI,2012,battle creek area learning center,13904,13,3,9,1,0
MI,2012,battle creek public schools,13020,403,143,245,15,0
MI,2012,bay city academy,9903,12,12,0,0,0
MI,2012,bay city school district,9010,448,87,349,10,2
