localid,name,e4,e3,e1,eu,et,year,e2,state
01,alachua,1110,655,1,51,1826,2012,9,FL
02,baker,262,38,0,28,339,2012,11,FL
03,bay,103,1617,3,172,1934,2012,39,FL
04,bradford,12,142,0,77,273,2012,42,FL
05,brevard,1564,3631,10,0,5289,2012,84,FL
06,broward,1229,14835,0,61,16245,2012,120,FL
07,calhoun,33,141,0,21,200,2012,5,FL
08,charlotte,0,1031,0,0,1031,2012,0,FL
09,citrus,464,649,0,75,1222,2012,34,FL
10,clay,1784,665,0,7,2457,2012,1,FL
11,collier,133,2928,0,320,3393,2012,12,FL
12,columbia,399,294,0,2,699,2012,4,FL
13,dade,765,15884,1,2432,20567,2012,1485,FL
14,desoto,5,172,0,27,324,2012,120,FL
15,dixie,31,71,0,11,128,2012,15,FL
16,duval,821,5875,16,860,7986,2012,414,FL
17,escambia,2,2712,8,0,2828,2012,106,FL
18,flagler,630,55,0,48,747,2012,14,FL
19,franklin,4,19,0,31,96,2012,42,FL
20,gadsden,116,238,1,100,478,2012,23,FL
21,gilchrist,95,67,1,11,175,2012,1,FL
22,glades,21,57,0,0,78,2012,0,FL
23,gulf,41,93,0,5,139,2012,0,FL
24,hamilton,12,88,2,4,136,2012,30,FL
25,hardee,33,323,0,1,367,2012,10,FL
26,hendry,181,163,0,76,423,2012,3,FL
27,hernando,259,1261,0,94,1634,2012,20,FL
28,highlands,182,556,0,94,838,2012,6,FL
29,hillsborough,5486,7723,156,1306,14896,2012,225,FL
30,holmes,11,209,0,18,245,2012,7,FL
31,indian_river,719,295,0,46,1061,2012,1,FL
32,jackson,66,412,0,58,545,2012,9,FL
33,jefferson,3,45,0,62,110,2012,0,FL
34,lafayette,21,45,0,5,72,2012,1,FL
35,lake,37,2596,1,4,2756,2012,118,FL
36,lee,472,4505,70,434,5525,2012,44,FL
37,leon,1743,322,0,223,2288,2012,0,FL
38,levy,110,193,0,65,373,2012,5,FL
39,liberty,1,38,12,36,128,2012,41,FL
40,madison,92,58,0,54,206,2012,2,FL
41,manatee,1163,1250,1,495,2961,2012,52,FL
42,marion,289,2196,0,423,2921,2012,13,FL
43,martin,539,605,0,125,1269,2012,0,FL
44,monroe,244,228,0,78,553,2012,3,FL
45,nassau,300,360,0,57,721,2012,4,FL
46,okaloosa,1326,345,0,135,1806,2012,0,FL
47,okeechobee,5,405,0,47,457,2012,0,FL
48,orange,134,10774,2,612,11642,2012,120,FL
49,osceola,262,2991,2,206,3493,2012,32,FL
50,palm_beach,2932,8099,0,865,11896,2012,0,FL
51,pasco,142,3753,0,714,4664,2012,55,FL
52,pinellas,1516,4555,15,1242,7914,2012,586,FL
53,polk,1278,4071,0,950,6299,2012,0,FL
54,putnam,77,576,0,27,681,2012,1,FL
55,st._johns,559,1083,0,202,1865,2012,21,FL
56,st._lucie,96,17,1,2667,2783,2012,2,FL
57,santa_rosa,888,740,0,179,1812,2012,5,FL
58,sarasota,1216,1190,1,483,2943,2012,53,FL
59,seminole,2098,2092,0,183,4406,2012,33,FL
60,sumter,75,395,0,51,523,2012,2,FL
61,suwannee,66,265,9,40,416,2012,36,FL
62,taylor,2,174,0,36,212,2012,0,FL
63,union,16,146,0,8,177,2012,7,FL
64,volusia,1636,2385,1,315,4351,2012,14,FL
65,wakulla,100,176,0,37,323,2012,10,FL
66,walton,130,322,0,78,550,2012,20,FL
67,washington,30,203,0,98,340,2012,9,FL
68,deaf/blind,NA,NA,NA,NA,NA,2012,NA,FL
69,dozier/okeec,0,8,0,5,15,2012,2,FL
71,fl_virtual,300,719,1,966,2006,2012,20,FL
72,fau_lab_sch,12,29,0,1,43,2012,1,FL
74,famu_lab_sch,32,2,0,3,38,2012,1,FL
75,uf_lab_sch,53,7,0,13,73,2012,0,FL
01,alachua,987,834,1,107,1935,2013,6,FL
02,baker,246,60,0,15,329,2013,8,FL
03,bay,575,1117,3,178,1894,2013,21,FL
04,bradford,15,144,1,58,258,2013,40,FL
05,brevard,3003,2140,15,0,5205,2013,47,FL
06,broward,1524,13766,4,2094,17536,2013,148,FL
07,calhoun,9,149,1,26,191,2013,6,FL
08,charlotte,216,705,3,70,1017,2013,23,FL
09,citrus,527,484,0,154,1211,2013,46,FL
10,clay,1803,755,1,18,2577,2013,0,FL
11,collier,0,3391,0,72,3463,2013,0,FL
12,columbia,517,139,0,42,701,2013,3,FL
13,dade,7164,11250,7,4190,22707,2013,96,FL
14,desoto,14,95,3,35,326,2013,179,FL
15,dixie,41,61,0,3,116,2013,11,FL
16,duval,820,6353,12,665,8334,2013,484,FL
17,escambia,215,2260,13,359,2958,2013,111,FL
18,flagler,564,156,5,65,807,2013,17,FL
19,franklin,4,83,0,5,93,2013,1,FL
20,gadsden,90,257,0,95,462,2013,20,FL
21,gilchrist,94,57,1,9,161,2013,0,FL
22,glades,15,57,0,0,88,2013,16,FL
23,gulf,26,108,0,11,146,2013,1,FL
24,hamilton,8,70,0,19,123,2013,26,FL
25,hardee,31,283,0,0,359,2013,45,FL
26,hendry,184,163,0,98,448,2013,3,FL
27,hernando,748,757,0,43,1579,2013,31,FL
28,highlands,266,483,0,85,868,2013,34,FL
29,hillsborough,5337,8227,138,1342,15562,2013,518,FL
30,holmes,24,198,0,21,246,2013,3,FL
31,indian_river,0,0,0,1080,1080,2013,0,FL
32,jackson,20,442,0,64,543,2013,17,FL
33,jefferson,7,69,0,29,105,2013,0,FL
34,lafayette,47,22,0,1,71,2013,1,FL
35,lake,100,2746,2,2,2932,2013,82,FL
36,lee,991,4211,73,520,5850,2013,55,FL
37,leon,1930,234,0,357,2525,2013,4,FL
38,levy,147,184,1,57,396,2013,7,FL
39,liberty,0,110,3,13,132,2013,6,FL
40,madison,80,77,0,49,209,2013,3,FL
41,manatee,1322,1138,0,575,3153,2013,118,FL
42,marion,538,2076,1,300,2933,2013,18,FL
43,martin,748,390,0,142,1280,2013,0,FL
44,monroe,199,217,0,142,562,2013,4,FL
45,nassau,252,421,0,34,712,2013,5,FL
46,okaloosa,1530,263,0,115,1910,2013,2,FL
47,okeechobee,14,388,0,42,450,2013,6,FL
48,orange,776,10195,1,702,11796,2013,122,FL
49,osceola,1119,2456,3,198,3810,2013,34,FL
50,palm_beach,4311,7090,4,1311,12737,2013,21,FL
51,pasco,184,3651,0,895,4797,2013,67,FL
52,pinellas,2064,4297,0,1226,7955,2013,368,FL
53,polk,2395,2763,0,1864,7022,2013,0,FL
54,putnam,142,477,0,52,676,2013,5,FL
55,st._johns,800,1018,0,121,1947,2013,8,FL
56,st._lucie,3,63,0,2673,2772,2013,33,FL
57,santa_rosa,999,653,1,168,1829,2013,8,FL
58,sarasota,1398,1316,3,504,3271,2013,50,FL
59,seminole,2871,1337,0,223,4463,2013,32,FL
60,sumter,144,340,0,43,536,2013,9,FL
61,suwannee,70,259,0,51,410,2013,30,FL
62,taylor,8,166,0,59,233,2013,0,FL
63,union,63,95,0,9,173,2013,6,FL
64,volusia,1207,2560,5,370,4235,2013,93,FL
65,wakulla,119,171,0,45,341,2013,6,FL
66,walton,176,312,0,96,608,2013,24,FL
67,washington,56,203,0,59,334,2013,16,FL
68,deaf/blind,75,42,1,0,121,2013,3,FL
69,dozier/okeec,4,8,0,0,12,2013,0,FL
71,florida_virtual,873,294,0,1760,2930,2013,3,FL
72,fau_lab_school,22,20,0,87,129,2013,0,FL
73,fsu_lab_school,33,88,0,17,146,2013,8,FL
74,famu_lab_scho,2,22,0,9,38,2013,5,FL
75,uf_lab_school,46,18,0,5,70,2013,1,FL
02,baker,116,138,2,23,317,2014,38,FL
03,bay,638,1071,7,211,1949,2014,22,FL
04,bradford,20,146,1,102,292,2014,23,FL
05,brevard,3064,1359,5,391,4843,2014,24,FL
06,broward,736,13158,25,2702,16708,2014,87,FL
07,calhoun,6,140,0,32,179,2014,1,FL
08,charlotte,287,645,1,71,1017,2014,13,FL
09,citrus,536,400,0,189,1146,2014,21,FL
10,clay,1916,519,0,29,2465,2014,1,FL
11,collier,168,2889,1,28,3166,2014,80,FL
12,columbia,504,168,0,43,720,2014,5,FL
13,dade,7931,11762,52,4189,24457,2014,523,FL
14,desoto,50,202,0,41,332,2014,39,FL
15,dixie,32,63,0,5,120,2014,20,FL
16,duval,1149,5870,6,948,8623,2014,650,FL
17,escambia,607,1803,17,368,2933,2014,138,FL
18,flagler,536,156,0,97,806,2014,17,FL
19,franklin,2,62,0,15,92,2014,13,FL
20,gadsden,102,223,0,169,503,2014,9,FL
21,gilchrist,87,48,1,21,157,2014,0,FL
22,glades,48,75,0,3,127,2014,1,FL
23,gulf,20,97,0,15,132,2014,0,FL
24,hamilton,20,60,0,21,126,2014,25,FL
25,hardee,38,288,1,0,354,2014,27,FL
26,hendry,0,435,0,0,435,2014,0,FL
27,hernando,888,603,0,112,1603,2014,0,FL
28,highlands,246,498,0,58,814,2014,12,FL
29,hillsborough,6149,6964,225,1957,15728,2014,433,FL
30,holmes,19,193,0,20,241,2014,9,FL
31,indian_river,267,480,9,187,1039,2014,96,FL
32,jackson,25,400,1,84,532,2014,22,FL
