state,year,name,localid,e4,e3,e2,e1
ID,2015,boise independent district,001,0,1668,6,9
ID,2015,joint school district no. 2,002,443,1385,15,0
ID,2015,kuna joint district,003,0,304,0,0
ID,2015,meadows valley district,011,3,12,1,0
ID,2015,council district,013,5,14,0,0
ID,2015,marsh valley joint district,021,0,72,0,1
ID,2015,pocatello district,025,0,675,3,2
ID,2015,bear lake county district,033,0,64,0,0
ID,2015,st maries joint district,041,12,50,0,0
ID,2015,plummer-worley joint district,044,6,22,1,0
ID,2015,snake river district,052,0,95,1,0
ID,2015,blackfoot district,055,48,170,3,0
ID,2015,aberdeen district,058,2,44,0,0
ID,2015,firth district,059,0,40,2,0
ID,2015,shelley joint district,060,1,112,0,0
ID,2015,blaine county district,061,2,297,0,3
ID,2015,garden valley district,071,7,12,0,0
ID,2015,basin school district,072,19,5,0,0
ID,2015,horseshoe bend school district,073,0,20,0,0
ID,2015,west bonner county district,083,6,73,3,0
ID,2015,lake pend oreille school district,084,0,239,0,0
ID,2015,idaho falls district,091,0,546,1,0
ID,2015,swan valley elementary district,092,NA,NA,NA,NA
ID,2015,bonneville joint district,093,292,210,19,0
ID,2015,boundary county district,101,18,65,1,0
ID,2015,butte county joint district,111,0,30,0,0
ID,2015,camas county district,121,4,12,0,0
ID,2015,nampa school district,131,132,670,20,0
ID,2015,caldwell district,132,6,288,36,0
ID,2015,wilder district,133,0,43,1,0
ID,2015,middleton district,134,27,165,4,2
ID,2015,notus district,135,0,36,2,0
ID,2015,melba joint district,136,0,47,0,0
ID,2015,parma district,137,11,56,2,0
ID,2015,vallivue school district,139,0,404,0,0
ID,2015,grace joint district,148,3,26,1,0
ID,2015,north gem district,149,5,14,0,0
ID,2015,soda springs joint district,150,0,50,1,0
ID,2015,cassia county joint district,151,0,315,0,0
ID,2015,clark county district,161,2,13,1,0
ID,2015,orofino joint district,171,0,76,1,0
ID,2015,challis joint district,181,0,28,3,0
ID,2015,mackay joint district,182,0,17,0,0
ID,2015,prairie elementary district,191,NA,NA,NA,NA
ID,2015,glenns ferry joint district,192,4,22,0,0
ID,2015,mountain home district,193,10,178,0,0
ID,2015,preston joint district,201,2,127,1,0
ID,2015,west side joint district,202,0,40,1,0
ID,2015,fremont county joint district,215,0,136,0,0
ID,2015,emmett independent district,221,11,125,9,1
ID,2015,gooding joint district,231,24,45,3,0
ID,2015,wendell district,232,29,31,0,0
ID,2015,hagerman joint district,233,0,25,0,0
ID,2015,bliss joint district,234,0,15,0,0
ID,2015,cottonwood joint district,242,0,32,0,0
ID,2015,salmon river joint school district,243,3,13,0,0
ID,2015,mountain view school district,244,16,60,0,0
ID,2015,jefferson county joint district,251,49,204,6,0
ID,2015,ririe joint district,252,0,44,0,0
ID,2015,west jefferson district,253,6,30,1,0
ID,2015,jerome joint district,261,19,180,5,0
ID,2015,valley district,262,3,38,0,1
ID,2015,coeur d'alene district,271,1,566,15,2
ID,2015,lakeland district,272,0,252,1,0
ID,2015,post falls district,273,43,247,1,0
ID,2015,kootenai district,274,0,17,0,0
ID,2015,moscow district,281,0,163,0,0
ID,2015,genesee joint district,282,0,24,1,0
ID,2015,kendrick joint district,283,0,9,0,0
ID,2015,potlatch district,285,2,9,6,0
ID,2015,troy school district,287,4,20,0,0
ID,2015,whitepine joint school district,288,8,11,0,0
ID,2015,salmon district,291,0,53,0,0
ID,2015,south lemhi district,292,10,2,0,0
ID,2015,nezperce joint district,302,7,9,0,0
ID,2015,kamiah joint district,304,0,36,0,0
ID,2015,highland joint district,305,5,11,0,0
ID,2015,shoshone joint district,312,4,26,4,0
ID,2015,dietrich district,314,0,19,0,0
ID,2015,richfield district,316,4,13,0,0
ID,2015,madison district,321,20,235,3,0
ID,2015,sugar-salem joint district,322,0,85,0,0
ID,2015,minidoka county joint district,331,47,178,0,0
ID,2015,lewiston independent district,340,0,311,1,0
ID,2015,lapwai district,341,3,35,0,0
ID,2015,culdesac joint district,342,2,13,0,0
ID,2015,oneida county district,351,0,54,0,0
ID,2015,marsing joint district,363,10,47,2,0
ID,2015,pleasant valley elementary district,364,NA,NA,NA,NA
ID,2015,bruneau-grand view joint school district,365,2,18,3,0
ID,2015,homedale joint district,370,7,69,2,0
ID,2015,payette joint district,371,26,53,2,0
ID,2015,new plymouth district,372,0,58,0,0
ID,2015,fruitland district,373,0,92,0,0
ID,2015,american falls joint district,381,20,59,2,0
ID,2015,rockland district,382,3,15,0,0
ID,2015,arbon elementary district,383,NA,NA,NA,NA
ID,2015,kellogg joint district,391,2,73,2,0
ID,2015,mullan district,392,13,0,0,0
ID,2015,wallace district,393,1,42,2,0
ID,2015,avery elementary district,394,NA,NA,NA,NA
ID,2015,teton county district,401,0,100,0,0
ID,2015,twin falls district,411,1,486,7,1
ID,2015,buhl joint district,412,0,71,2,0
ID,2015,filer district,413,1,87,1,0
ID,2015,kimberly district,414,25,61,1,1
ID,2015,hansen district,415,0,25,1,0
ID,2015,three creek joint elementary district,416,NA,NA,NA,NA
ID,2015,castleford district,417,0,23,0,0
ID,2015,murtaugh joint district,418,0,22,0,0
ID,2015,mccall-donnelly joint school district,421,28,52,0,0
ID,2015,cascade district,422,15,1,0,0
ID,2015,weiser district,431,0,90,0,0
ID,2015,cambridge joint district,432,2,13,1,0
ID,2015,midvale district,433,5,10,0,0
ID,2015,"victory charter school, inc.",451,0,24,0,0
ID,2015,"idaho virtual academy, inc.",452,8,56,2,0
ID,2015,"idaho virtual high school, inc.",453,0,24,0,0
ID,2015,"rolling hills public charter school, inc.",454,0,12,0,0
ID,2015,"compass public charter school, inc.",455,4,28,2,0
ID,2015,"falcon ridge public charter school, inc.",456,0,15,0,0
ID,2015,"inspire academics, inc.",457,0,30,1,0
ID,2015,"liberty charter school, inc.",458,0,23,0,0
ID,2015,"the academy, inc.",460,0,13,0,0
ID,2015,"taylor's crossing public charter school, inc.",461,7,9,1,0
ID,2015,"xavier charter school, inc.",462,15,13,1,0
ID,2015,"vision charter school, inc.",463,23,3,0,0
ID,2015,"white pine charter school, inc.",464,0,18,2,0
ID,2015,"north valley academy, inc.",465,4,14,1,0
ID,2015,"isucceed virtual high school, inc.",466,0,18,0,0
ID,2015,"idaho science and technology charter school, inc.",468,2,18,1,0
ID,2015,"idaho virtual education partners, inc.",469,0,15,0,0
ID,2015,"the kootenai bridge academy, inc.",470,0,5,0,0
ID,2015,"palouse prairie educational organization, inc.",472,6,6,0,0
ID,2015,"the village charter school, inc.",473,0,18,0,0
ID,2015,"monticello montessori charter school, inc.",474,0,10,0,0
ID,2015,"the sage international school of boise, a public charter school, inc.",475,13,39,2,0
ID,2015,"another choice virtual charter school, inc.",476,0,21,0,0
ID,2015,"blackfoot charter community learning center, inc.",477,0,15,0,0
ID,2015,"legacy public charter school, inc.",478,0,14,0,0
ID,2015,"heritage academy, inc.",479,NA,NA,NA,NA
ID,2015,"north idaho stem charter academy, inc.",480,0,17,1,0
ID,2015,"heritage community charter school, inc.",481,0,25,0,0
ID,2015,"american heritage charter school, inc.",482,0,14,0,0
ID,2015,"chief tahgee elementary academy, inc.",483,0,6,0,0
ID,2015,"idaho stem academy, inc.",485,0,7,0,0
ID,2015,"upper carmen public charter school, inc.",486,NA,NA,NA,NA
ID,2015,"sandpoint charter school, inc.",487,2,25,0,0
ID,2015,"syringa mountain school, inc.",488,1,5,1,0
ID,2015,"idaho college and career readiness academy, inc.",489,1,4,0,0
ID,2015,"idaho distance education academy, inc.",490,2,19,0,0
ID,2015,"coeur d'alene charter academy, inc.",491,4,30,0,1
ID,2015,"anser of idaho, inc.",492,7,13,0,0
ID,2015,"north star charter school, inc.",493,11,37,0,1
ID,2015,"the pocatello community charter school, inc.",494,2,15,0,0
ID,2015,canyon-owyhee school service agency (cossa),555,0,15,2,0
ID,2015,"thomas jefferson charter school, inc.",559,0,22,0,0
ID,2015,idaho bureau of educational services for the deaf and the blind,596,0,20,0,0
ID,2015,"s e i tec charter school, inc.",751,1,48,0,0
ID,2015,"meridian technical charter high school, inc.",768,7,4,0,0
ID,2015,idaho digital learning academy,771,40,153,3,1
ID,2015,"meridian medical arts charter high school, inc.",785,3,11,1,0
ID,2015,"advanced regional technical education, inc.",790,3,30,0,0
ID,2015,"payette river technical academy, inc.",794,2,8,0,0
ID,2015,"idaho arts charter school, inc.",795,0,40,0,0
ID,2015,"moscow charter school, inc.",813,10,0,0,0
ID,2016,boise independent district,001,0,1695,12,6
ID,2017,boise independent district,001,0,1712,8,2
ID,2018,boise independent district,001,0,1736,5,8
ID,2019,boise independent district,001,0,1757,7,4
