state,name,localid,year,et,eu,es,e4,e3,e2,e1
MA,abington,00010000,2013,NA,NA,NA,NA,NA,NA,NA
MA,abington,00010000,2014,134,5,0,16,106,6,1
MA,abington,00010000,2015,124,2,0,18,100,3,1
MA,abington,00010000,2016,131,0,131,NA,NA,NA,NA
MA,abington,00010000,2017,130,2,128,NA,NA,NA,NA
MA,abington,00010000,2018,124,0,124,NA,NA,NA,NA
MA,acton,00020000,2013,NA,NA,NA,NA,NA,NA,NA
MA,acton,00020000,2014,151,68,0,4,78,1,0
MA,acushnet,00030000,2013,67,23,44,NA,NA,NA,NA
MA,acushnet,00030000,2014,67,0,67,NA,NA,NA,NA
MA,acushnet,00030000,2015,69,1,68,NA,NA,NA,NA
MA,acushnet,00030000,2016,70,0,70,NA,NA,NA,NA
MA,acushnet,00030000,2017,73,2,71,NA,NA,NA,NA
MA,acushnet,00030000,2018,70,6,64,NA,NA,NA,NA
MA,agawam,00050000,2013,302,150,152,NA,NA,NA,NA
MA,agawam,00050000,2014,317,0,0,17,296,4,0
MA,agawam,00050000,2015,323,0,0,39,284,0,0
MA,agawam,00050000,2016,318,0,0,25,289,4,0
MA,agawam,00050000,2017,325,0,0,26,299,0,0
MA,agawam,00050000,2018,332,0,0,37,294,1,0
MA,amesbury,00070000,2013,162,87,75,NA,NA,NA,NA
MA,amesbury,00070000,2014,163,1,0,5,155,2,0
MA,amesbury,00070000,2015,161,4,0,4,150,3,0
MA,amesbury,00070000,2016,171,34,0,31,103,3,0
MA,amesbury,00070000,2017,173,2,0,28,137,6,0
MA,amesbury,00070000,2018,167,0,0,37,123,7,0
MA,amherst,00080000,2013,120,60,0,5,49,6,0
MA,amherst,00080000,2014,117,2,0,13,100,2,0
MA,amherst,00080000,2015,118,5,0,13,100,0,0
MA,amherst,00080000,2016,125,2,0,18,102,3,0
MA,amherst,00080000,2017,121,5,0,16,94,6,0
MA,amherst,00080000,2018,125,5,0,27,88,4,1
MA,andover,00090000,2013,NA,NA,NA,NA,NA,NA,NA
MA,andover,00090000,2014,476,174,302,NA,NA,NA,NA
MA,andover,00090000,2015,476,218,0,32,219,7,0
MA,andover,00090000,2016,471,77,0,68,319,6,1
MA,andover,00090000,2017,464,3,0,84,363,13,1
MA,andover,00090000,2018,475,0,0,85,381,9,0
MA,arlington,00100000,2013,NA,NA,NA,NA,NA,NA,NA
MA,arlington,00100000,2014,371,42,0,0,321,6,2
MA,arlington,00100000,2015,383,0,383,NA,NA,NA,NA
MA,arlington,00100000,2016,394,0,394,NA,NA,NA,NA
MA,arlington,00100000,2017,409,0,409,NA,NA,NA,NA
MA,arlington,00100000,2018,415,0,415,NA,NA,NA,NA
MA,ashland,00140000,2013,176,19,157,NA,NA,NA,NA
MA,ashland,00140000,2014,181,2,179,NA,NA,NA,NA
MA,ashland,00140000,2015,188,2,0,40,142,4,0
MA,ashland,00140000,2016,190,0,190,NA,NA,NA,NA
MA,ashland,00140000,2017,191,0,0,27,163,0,1
MA,ashland,00140000,2018,202,1,0,32,166,3,0
MA,attleboro,00160000,2013,406,58,348,NA,NA,NA,NA
MA,attleboro,00160000,2014,376,1,0,24,343,7,1
MA,attleboro,00160000,2015,389,0,0,31,343,15,0
MA,attleboro,00160000,2016,397,0,0,26,361,9,1
MA,attleboro,00160000,2017,378,6,0,30,336,6,0
MA,attleboro,00160000,2018,384,4,380,NA,NA,NA,NA
MA,auburn,00170000,2013,178,78,100,NA,NA,NA,NA
MA,auburn,00170000,2014,179,0,0,5,170,2,2
MA,auburn,00170000,2015,182,0,0,22,157,2,1
MA,auburn,00170000,2016,181,0,0,8,170,2,1
MA,auburn,00170000,2017,186,0,0,7,175,4,0
MA,auburn,00170000,2018,189,0,0,14,170,3,2
MA,avon,00180000,2013,66,29,37,NA,NA,NA,NA
MA,avon,00180000,2014,63,3,60,NA,NA,NA,NA
MA,avon,00180000,2015,66,0,66,NA,NA,NA,NA
MA,avon,00180000,2016,66,0,66,NA,NA,NA,NA
MA,avon,00180000,2017,66,0,66,NA,NA,NA,NA
MA,avon,00180000,2018,68,1,67,NA,NA,NA,NA
MA,barnstable,00200000,2013,388,12,0,19,339,18,0
MA,barnstable,00200000,2014,387,15,0,28,337,7,0
MA,barnstable,00200000,2015,383,16,0,31,326,8,2
MA,barnstable,00200000,2016,386,12,0,56,309,9,0
MA,barnstable,00200000,2017,386,16,0,67,289,13,1
MA,barnstable,00200000,2018,381,15,0,70,291,4,1
MA,bedford,00230000,2013,215,102,113,NA,NA,NA,NA
MA,bedford,00230000,2014,220,0,220,NA,NA,NA,NA
MA,bedford,00230000,2015,235,0,235,NA,NA,NA,NA
MA,bedford,00230000,2016,237,0,237,NA,NA,NA,NA
MA,bedford,00230000,2017,240,0,240,NA,NA,NA,NA
MA,bedford,00230000,2018,241,0,0,0,236,4,1
MA,belchertown,00240000,2013,181,8,173,NA,NA,NA,NA
MA,belchertown,00240000,2014,175,0,0,2,171,1,1
MA,belchertown,00240000,2015,172,0,0,1,166,5,0
MA,belchertown,00240000,2016,174,0,0,10,161,2,1
MA,belchertown,00240000,2017,175,1,174,NA,NA,NA,NA
MA,belchertown,00240000,2018,172,1,0,14,155,2,0
MA,bellingham,00250000,2013,181,8,173,NA,NA,NA,NA
MA,bellingham,00250000,2014,173,26,0,7,135,4,1
MA,bellingham,00250000,2015,167,13,0,17,133,3,1
MA,bellingham,00250000,2016,164,1,163,NA,NA,NA,NA
MA,bellingham,00250000,2017,171,1,170,NA,NA,NA,NA
MA,bellingham,00250000,2018,174,0,174,NA,NA,NA,NA
MA,belmont,00260000,2013,249,8,0,12,217,12,0
MA,belmont,00260000,2014,248,0,0,16,222,7,3
MA,belmont,00260000,2015,242,1,0,27,210,2,2
MA,belmont,00260000,2016,268,2,0,27,234,4,1
MA,belmont,00260000,2017,269,1,0,31,227,9,1
MA,belmont,00260000,2018,283,2,0,29,245,7,0
MA,berkley,00270000,2013,61,2,59,NA,NA,NA,NA
MA,berkley,00270000,2014,61,1,60,NA,NA,NA,NA
MA,berkley,00270000,2015,64,2,0,6,56,0,0
MA,berkley,00270000,2016,63,1,0,5,55,2,0
MA,berkley,00270000,2017,63,0,0,5,54,4,0
MA,berkley,00270000,2018,59,0,0,19,40,0,0
MA,berlin,00280000,2013,NA,NA,NA,NA,NA,NA,NA
MA,berlin,00280000,2014,21,6,15,NA,NA,NA,NA
MA,berlin,00280000,2015,21,0,21,NA,NA,NA,NA
MA,berlin,00280000,2016,20,0,20,NA,NA,NA,NA
MA,berlin,00280000,2017,20,0,0,1,18,1,0
MA,berlin,00280000,2018,20,0,20,NA,NA,NA,NA
MA,beverly,00300000,2013,307,165,0,6,127,8,1
MA,beverly,00300000,2014,309,4,0,34,260,6,5
MA,beverly,00300000,2015,322,0,0,23,298,1,0
MA,beverly,00300000,2016,326,2,0,26,294,4,0
MA,beverly,00300000,2017,337,1,0,23,312,1,0
MA,beverly,00300000,2018,340,1,339,NA,NA,NA,NA
MA,billerica,00310000,2013,398,226,172,NA,NA,NA,NA
MA,billerica,00310000,2014,385,43,0,21,292,28,1
MA,billerica,00310000,2015,391,113,278,NA,NA,NA,NA
MA,billerica,00310000,2016,373,35,338,NA,NA,NA,NA
MA,billerica,00310000,2017,379,99,280,NA,NA,NA,NA
MA,billerica,00310000,2018,382,1,381,NA,NA,NA,NA
MA,boston,00350000,2013,4373,519,0,520,3064,224,46
MA,boston,00350000,2014,4250,549,0,622,2868,181,26
MA,boston,00350000,2015,3726,188,0,647,2738,127,25
MA,boston,00350000,2016,3804,518,0,647,2501,115,23
MA,boston,00350000,2017,3878,374,0,711,2702,84,7
MA,boston,00350000,2018,4294,371,0,745,3032,133,12
MA,bourne,00360000,2013,148,62,86,NA,NA,NA,NA
MA,bourne,00360000,2014,161,87,0,8,63,2,1
MA,bourne,00360000,2015,158,3,0,24,126,5,0
MA,bourne,00360000,2016,155,89,66,NA,NA,NA,NA
MA,bourne,00360000,2017,153,18,0,37,95,3,0
MA,bourne,00360000,2018,150,11,0,37,99,3,0
MA,boxborough,00370000,2013,37,0,37,NA,NA,NA,NA
MA,boxborough,00370000,2014,37,0,37,NA,NA,NA,NA
MA,boxford,00380000,2013,NA,NA,NA,NA,NA,NA,NA
MA,boxford,00380000,2014,62,31,31,NA,NA,NA,NA
MA,boxford,00380000,2015,66,0,66,NA,NA,NA,NA
MA,boxford,00380000,2016,67,0,67,NA,NA,NA,NA
MA,boxford,00380000,2017,65,3,0,4,58,0,0
MA,boxford,00380000,2018,59,0,0,2,57,0,0
MA,boylston,00390000,2013,NA,NA,NA,NA,NA,NA,NA
MA,boylston,00390000,2014,23,8,15,NA,NA,NA,NA
MA,boylston,00390000,2015,24,0,24,NA,NA,NA,NA
MA,boylston,00390000,2016,25,0,25,NA,NA,NA,NA
MA,boylston,00390000,2017,23,0,0,2,21,0,0
MA,boylston,00390000,2018,22,0,22,NA,NA,NA,NA
MA,braintree,00400000,2013,408,185,0,3,215,4,1
MA,braintree,00400000,2014,406,0,0,19,377,8,2
MA,braintree,00400000,2015,408,1,0,22,375,9,1
MA,braintree,00400000,2016,429,0,0,29,388,11,1
MA,braintree,00400000,2017,421,0,0,42,368,9,2
MA,braintree,00400000,2018,420,1,419,NA,NA,NA,NA
MA,brewster,00410000,2013,48,20,28,NA,NA,NA,NA
MA,brewster,00410000,2014,49,0,0,13,35,1,0
MA,brewster,00410000,2015,46,1,0,20,24,1,0
MA,brewster,00410000,2016,44,0,0,22,21,1,0
MA,brewster,00410000,2017,43,0,0,23,19,1,0
MA,brewster,00410000,2018,46,0,0,26,19,1,0
MA,brimfield,00430000,2013,NA,NA,NA,NA,NA,NA,NA
MA,brimfield,00430000,2014,31,2,29,NA,NA,NA,NA
MA,brimfield,00430000,2015,27,0,27,NA,NA,NA,NA
MA,brimfield,00430000,2016,26,0,26,NA,NA,NA,NA
MA,brimfield,00430000,2017,26,0,26,NA,NA,NA,NA
MA,brimfield,00430000,2018,27,1,26,NA,NA,NA,NA
MA,brockton,00440000,2013,1121,NA,NA,NA,NA,NA,NA
MA,brockton,00440000,2014,1128,25,0,17,1071,15,1
MA,brockton,00440000,2015,1147,13,0,61,1055,18,0
MA,brockton,00440000,2016,1107,61,0,58,949,36,3
MA,brockton,00440000,2017,1080,144,0,78,828,23,7
MA,brockton,00440000,2018,1010,114,0,84,773,31,8
MA,brookfield,00450000,2013,NA,NA,NA,NA,NA,NA,NA
MA,brookfield,00450000,2014,25,0,25,NA,NA,NA,NA
MA,brookfield,00450000,2015,26,0,26,NA,NA,NA,NA
MA,brookfield,00450000,2016,24,0,24,NA,NA,NA,NA
MA,brookfield,00450000,2017,26,0,26,NA,NA,NA,NA
MA,brookfield,00450000,2018,25,0,25,NA,NA,NA,NA
MA,brookline,00460000,2013,NA,NA,NA,NA,NA,NA,NA
MA,brookline,00460000,2014,601,308,293,NA,NA,NA,NA
MA,brookline,00460000,2015,625,103,522,NA,NA,NA,NA
MA,brookline,00460000,2016,645,77,0,7,545,15,1
MA,brookline,00460000,2017,672,50,0,6,603,13,0
MA,brookline,00460000,2018,668,59,0,4,594,9,2
MA,burlington,00480000,2013,NA,NA,NA,NA,NA,NA,NA
MA,burlington,00480000,2014,306,59,247,NA,NA,NA,NA
MA,burlington,00480000,2015,306,3,0,8,281,14,0
MA,burlington,00480000,2016,313,3,0,15,280,14,1
MA,burlington,00480000,2017,321,14,0,31,264,12,0
MA,burlington,00480000,2018,320,6,0,33,259,20,2
MA,cambridge,00490000,2013,600,188,412,NA,NA,NA,NA
MA,cambridge,00490000,2014,625,48,0,127,409,36,5
MA,cambridge,00490000,2015,660,114,0,143,371,25,7
MA,cambridge,00490000,2016,673,101,0,88,421,61,2
MA,cambridge,00490000,2017,672,101,0,100,434,31,6
MA,cambridge,00490000,2018,686,184,0,95,368,37,2
MA,canton,00500000,2013,NA,NA,NA,NA,NA,NA,NA
MA,canton,00500000,2014,249,130,119,NA,NA,NA,NA
MA,canton,00500000,2015,240,28,0,4,194,13,1
MA,canton,00500000,2016,246,4,242,NA,NA,NA,NA
MA,canton,00500000,2017,252,1,0,9,227,14,1
MA,canton,00500000,2018,263,0,0,26,231,6,0
MA,carlisle,00510000,2013,NA,NA,NA,NA,NA,NA,NA
MA,carlisle,00510000,2014,60,0,60,NA,NA,NA,NA
MA,carlisle,00510000,2015,59,0,59,NA,NA,NA,NA
MA,carlisle,00510000,2016,58,0,58,NA,NA,NA,NA
MA,carlisle,00510000,2017,56,0,56,NA,NA,NA,NA
MA,carlisle,00510000,2018,58,0,58,NA,NA,NA,NA
MA,carver,00520000,2013,NA,NA,NA,NA,NA,NA,NA
MA,carver,00520000,2014,132,9,123,NA,NA,NA,NA
MA,carver,00520000,2015,125,9,116,NA,NA,NA,NA
MA,carver,00520000,2016,131,42,89,NA,NA,NA,NA
MA,carver,00520000,2017,131,11,0,12,106,2,0
MA,carver,00520000,2018,124,3,0,17,100,4,0
MA,chelmsford,00560000,2013,349,14,0,11,317,6,1
MA,chelmsford,00560000,2014,358,11,0,23,318,2,4
MA,chelmsford,00560000,2015,364,9,0,24,326,5,0
