state,year,localid,name,e1,e2,e3,e4,et,e2_impute
NJ,2014,010010,absecon city,0,0,54,15,69,1
NJ,2014,010110,atlantic city,0,21,629,20,670,0
NJ,2014,010120,atlantic co vocational,0,0,82,24,106,1
NJ,2014,010125,atlantic co special serv,NA,NA,59,NA,66,0
NJ,2014,010570,brigantine city,0,0,19,47,66,1
NJ,2014,010590,buena regional,NA,NA,142,NA,152,0
NJ,2014,011300,egg harbor city,NA,3,26,19,48,1
NJ,2014,011310,egg harbor twp,NA,8,468,100,576,1
NJ,2014,011410,estell manor city,NA,NA,NA,10,15,0
NJ,2014,011540,folsom boro,0,0,17,21,38,1
NJ,2014,011690,galloway twp,0,0,285,14,299,1
NJ,2014,011790,greater egg harbor reg,NA,3,154,118,275,1
NJ,2014,011940,hamilton twp,NA,15,166,48,229,1
NJ,2014,011960,hammonton town,NA,1,124,114,239,1
NJ,2014,012680,linwood city,NA,NA,NA,NA,81,0
NJ,2014,012910,mainland regional,NA,NA,115,NA,116,0
NJ,2014,013020,margate city,0,0,38,10,48,1
NJ,2014,013480,mullica twp,0,0,38,23,61,1
NJ,2014,013720,northfield city,NA,2,65,19,86,1
NJ,2014,014180,pleasantville city,NA,9,311,21,341,1
NJ,2014,014240,port republic city,NA,NA,13,NA,15,0
NJ,2014,014800,somers point city,0,0,89,15,104,1
NJ,2014,015350,ventnor city,NA,2,66,11,79,1
NJ,2014,015760,weymouth twp,NA,NA,19,NA,20,0
NJ,2014,030040,allendale boro,NA,NA,67,NA,76,0
NJ,2014,030080,alpine boro,NA,NA,15,NA,22,0
NJ,2014,030285,bergen co special service,NA,4,85,93,182,1
NJ,2014,030290,bergen county vocational,NA,4,165,36,205,1
NJ,2014,030300,bergenfield boro,NA,3,188,56,247,1
NJ,2014,030440,bogota boro,NA,2,40,60,102,1
NJ,2014,030740,carlstadt boro,NA,NA,NA,33,40,0
NJ,2014,030745,carlstadt-east rutherford,NA,NA,NA,NA,39,0
NJ,2014,030890,cliffside park boro,0,0,27,160,187,1
NJ,2014,030930,closter boro,0,0,64,19,83,1
NJ,2014,030990,cresskill boro,NA,2,117,13,132,1
NJ,2014,031070,demarest boro,NA,NA,64,NA,70,0
NJ,2014,031130,dumont boro,0,0,157,55,212,1
NJ,2014,031230,east rutherford boro,0,0,23,39,62,1
NJ,2014,031270,edgewater boro,NA,1,37,22,60,1
NJ,2014,031345,elmwood park,NA,NA,137,NA,147,0
NJ,2014,031360,emerson boro,NA,NA,88,NA,93,0
NJ,2014,031370,englewood city,NA,20,241,NA,270,0
NJ,2014,031380,englewood cliffs boro,NA,2,30,17,49,1
NJ,2014,031450,fair lawn boro,NA,3,239,140,382,1
NJ,2014,031470,fairview boro,NA,5,68,11,84,1
NJ,2014,031550,fort lee boro,NA,5,223,25,253,1
NJ,2014,031580,franklin lakes boro,0,0,22,125,147,1
NJ,2014,031700,garfield city,NA,2,371,58,431,1
NJ,2014,031760,glen rock boro,NA,1,145,53,199,1
NJ,2014,031860,hackensack city,NA,4,356,32,392,1
NJ,2014,032050,harrington park boro,NA,NA,NA,54,55,0
NJ,2014,032080,hasbrouck heights boro,0,0,101,25,126,1
NJ,2014,032090,haworth boro,NA,NA,NA,NA,42,0
NJ,2014,032180,hillsdale boro,0,0,35,19,54,1
NJ,2014,032200,ho ho kus boro,0,0,25,29,54,1
NJ,2014,032620,leonia boro,NA,NA,149,NA,157,0
NJ,2014,032710,little ferry boro,0,0,13,10,23,1
NJ,2014,032740,lodi borough,NA,NA,222,NA,232,0
NJ,2014,032860,lyndhurst twp,NA,2,141,20,163,1
NJ,2014,032900,mahwah twp,NA,1,195,53,249,1
NJ,2014,033060,maywood boro,0,0,56,13,69,1
NJ,2014,033170,midland park boro,NA,NA,91,NA,99,0
NJ,2014,033330,montvale boro,0,0,19,49,68,1
NJ,2014,033550,new milford boro,NA,6,102,43,151,1
NJ,2014,033600,north arlington boro,NA,NA,126,NA,134,0
NJ,2014,033700,northern highlands reg,0,0,94,17,111,1
NJ,2014,033710,northern valley regional,NA,4,162,85,251,1
NJ,2014,033730,northvale boro,NA,NA,46,NA,47,0
NJ,2014,033740,norwood boro,0,0,34,11,45,1
NJ,2014,033760,oakland boro,0,0,88,28,116,1
NJ,2014,033850,old tappan boro,0,0,45,20,65,1
NJ,2014,033870,oradell boro,NA,NA,NA,NA,62,0
NJ,2014,033910,palisades park,NA,NA,130,NA,139,0
NJ,2014,033930,paramus boro,NA,5,217,79,301,1
NJ,2014,033940,park ridge boro,NA,3,78,34,115,1
NJ,2014,033960,pascack valley regional,0,0,113,48,161,1
NJ,2014,034300,ramapo-indian hill reg,0,0,134,64,198,1
NJ,2014,034310,ramsey boro,NA,3,192,43,238,1
NJ,2014,034370,ridgefield boro,NA,2,135,21,158,1
NJ,2014,034380,ridgefield park twp,0,0,74,86,160,1
NJ,2014,034390,ridgewood village,NA,4,289,130,423,1
NJ,2014,034405,river dell regional,NA,2,105,20,127,1
NJ,2014,034410,river edge boro,NA,1,68,21,90,1
NJ,2014,034430,river vale twp,NA,2,71,23,96,1
NJ,2014,034470,rochelle park twp,NA,NA,31,NA,41,0
NJ,2014,034600,rutherford boro,0,0,173,27,200,1
NJ,2014,034610,saddle brook twp,NA,1,102,59,162,1
NJ,2014,034620,saddle river boro,NA,NA,22,NA,23,0
NJ,2014,034845,south bergen jointure com,NA,1,20,28,49,1
NJ,2014,034870,south hackensack twp,NA,NA,12,NA,22,0
NJ,2014,035150,teaneck twp,NA,3,272,49,324,1
NJ,2014,035160,tenafly boro,0,0,146,147,293,1
NJ,2014,035330,upper saddle river boro,NA,1,87,15,103,1
NJ,2014,035410,waldwick boro,NA,1,126,15,142,1
NJ,2014,035430,wallington boro,NA,NA,77,NA,82,0
NJ,2014,035755,westwood regional,NA,4,105,111,220,1
NJ,2014,035830,wood-ridge boro,NA,1,74,17,92,1
NJ,2014,035880,woodcliff lake boro,0,0,51,15,66,1
NJ,2014,035920,wyckoff twp,0,0,71,117,188,1
NJ,2014,050200,bass river twp,NA,NA,NA,NA,15,0
NJ,2014,050380,beverly city,NA,NA,NA,NA,25,0
NJ,2014,050475,bordentown regional,0,0,129,42,171,1
NJ,2014,050600,burlington city,NA,11,122,36,169,1
NJ,2014,050605,burlington co spec serv,NA,NA,125,NA,127,0
NJ,2014,050610,burlington co vocational,NA,NA,144,NA,148,0
NJ,2014,050620,burlington twp,NA,2,284,16,302,1
NJ,2014,050830,chesterfield twp,NA,NA,48,NA,50,0
NJ,2014,050840,cinnaminson twp,NA,1,105,90,196,1
NJ,2014,051030,delanco twp,NA,NA,28,NA,32,0
NJ,2014,051060,delran twp,NA,1,145,62,208,1
NJ,2014,051250,eastampton twp,NA,NA,54,NA,56,0
NJ,2014,051280,edgewater park twp,NA,1,35,32,68,1
NJ,2014,051420,evesham twp,0,0,138,211,349,1
NJ,2014,051520,florence twp,NA,NA,112,NA,113,0
NJ,2014,051910,hainesport twp,0,0,34,25,59,1
NJ,2014,052610,lenape regional,0,0,275,285,560,1
NJ,2014,052850,lumberton twp,NA,1,95,21,117,1
NJ,2014,052960,mansfield twp,0,0,40,17,57,1
NJ,2014,053010,maple shade twp,NA,NA,167,NA,171,0
NJ,2014,053070,medford lakes boro,NA,NA,NA,29,39,0
NJ,2014,053080,medford twp,NA,1,114,75,190,1
NJ,2014,053360,moorestown twp,0,0,142,172,314,1
NJ,2014,053430,mount holly twp,NA,2,42,43,87,1
NJ,2014,053440,mount laurel twp,NA,2,205,124,331,1
NJ,2014,053540,new hanover twp,NA,NA,NA,14,22,0
NJ,2014,053650,north hanover twp,NA,2,87,22,111,1
NJ,2014,053690,northern burlington reg,NA,1,120,27,148,1
NJ,2014,053920,palmyra boro,NA,1,54,19,74,1
NJ,2014,054050,pemberton twp,NA,4,295,106,405,1
NJ,2014,054320,rancocas valley regional,NA,4,69,37,110,1
NJ,2014,054450,riverside twp,NA,1,102,15,118,1
NJ,2014,054460,riverton,NA,NA,18,NA,26,0
NJ,2014,054740,shamong twp,0,0,43,11,54,1
NJ,2014,054930,southampton twp,NA,NA,60,NA,66,0
