state,year,localid,name,e1,e2,e3,e4,et,e1_impute,e2_impute,e3_impute,e4_impute,p1,p2,p3,p4,ps
OH,2014,000125,polly fox academy community school,0,0,3,4,7,1,1,0,0,NA,NA,NA,NA,NA
OH,2014,000130,phoenix academy community school,0,0,15,0,15,1,1,0,1,NA,NA,NA,NA,NA
OH,2014,000138,pathway school of discovery,5,30,0,0,35,0,0,1,1,NA,NA,NA,NA,NA
OH,2014,000139,alliance academy of cincinnati,10,12,0,0,22,0,0,1,1,NA,NA,NA,NA,NA
OH,2014,000162,newark digital academy,0,0,5,0,5,1,1,0,1,NA,NA,NA,NA,NA
OH,2014,000222,wildwood environmental academy,0,0,20,0,20,1,1,0,1,NA,NA,NA,NA,NA
OH,2014,000236,"ohio connections academy, inc",0,23,81,15,119,1,0,0,0,NA,NA,NA,NA,NA
OH,2014,000288,auglaize county educational academy,4,9,0,0,13,0,0,1,1,NA,NA,NA,NA,NA
OH,2014,000296,summit academy community school-columbus,0,0,6,0,6,1,1,0,1,NA,NA,NA,NA,NA
OH,2014,000297,summit academy community school - dayton,0,0,13,0,13,1,1,0,1,NA,NA,NA,NA,NA
OH,2014,000298,summit academy secondary - akron,0,0,9,4,13,1,1,0,0,NA,NA,NA,NA,NA
OH,2014,000300,summit academy secondary - canton,0,0,7,0,7,1,1,0,1,NA,NA,NA,NA,NA
OH,2014,000301,summit academy secondary - lorain,0,0,0,7,7,1,1,1,0,NA,NA,NA,NA,NA
OH,2014,000302,summit academy community school-parma,0,7,16,4,27,1,0,0,0,NA,NA,NA,NA,NA
OH,2014,000303,summit academy secondary - youngstown,0,0,9,14,23,1,1,0,0,NA,NA,NA,NA,NA
OH,2014,000304,summit academy community school-toledo,0,0,10,0,10,1,1,0,1,NA,NA,NA,NA,NA
OH,2014,000305,summit academy community school-warren,0,6,8,0,14,1,0,0,1,NA,NA,NA,NA,NA
OH,2014,000306,summit academy community school - cincinnati,0,0,16,0,16,1,1,0,1,NA,NA,NA,NA,NA
OH,2014,000311,bridges community academy,0,3,7,0,10,1,0,0,1,NA,NA,NA,NA,NA
OH,2014,000316,constellation schools: westpark community middle,0,4,11,4,19,1,0,0,0,NA,NA,NA,NA,NA
OH,2014,000319,constellation schools: madison community elementary,0,5,18,4,27,1,0,0,0,NA,NA,NA,NA,NA
OH,2014,000320,constellation schools: lorain community middle,0,3,3,5,11,1,0,0,0,NA,NA,NA,NA,NA
OH,2014,000321,constellation schools: old brooklyn community middle,0,0,4,10,14,1,1,0,0,NA,NA,NA,NA,NA
OH,2014,000338,horizon science academy toledo,0,14,29,0,43,1,0,0,1,NA,NA,NA,NA,NA
OH,2014,000360,miamisburg secondary academy,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA
OH,2014,000417,buckeye on-line school for success,0,5,40,7,52,1,0,0,0,NA,NA,NA,NA,NA
OH,2014,000420,columbus bilingual academy,0,0,5,0,5,1,1,0,1,NA,NA,NA,NA,NA
OH,2014,000442,manchester local,0,0,16,37,53,1,1,0,0,NA,NA,NA,NA,NA
OH,2017,000442,manchester local,NA,NA,NA,NA,63,NA,NA,NA,NA,0,0,12.307692000000001,84.615384,0.03076923
OH,2018,000442,manchester local,NA,NA,NA,NA,60,NA,NA,NA,NA,0,1.7,11.9,83.10000000000001,3.4
OH,2019,000442,manchester local,NA,NA,NA,NA,62,NA,NA,NA,NA,0,3.4,17.2,79.3,0
OH,2014,000527,cleveland academy for scholarship technology and leadership,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA
OH,2014,000534,constellation schools: puritas community middle,0,3,7,3,13,1,0,0,0,NA,NA,NA,NA,NA
OH,2014,000541,constellation schools: outreach academy for students with di,0,0,5,0,5,1,1,0,1,NA,NA,NA,NA,NA
OH,2014,000543,pinnacle academy,0,0,7,28,35,1,1,0,0,NA,NA,NA,NA,NA
OH,2014,000546,winterfield venture academy,0,0,6,21,27,1,1,0,0,NA,NA,NA,NA,NA
OH,2014,000553,"columbus humanities, arts and technology academy",0,0,17,3,20,1,1,0,0,NA,NA,NA,NA,NA
OH,2014,000556,a+ arts academy,0,7,0,0,7,1,0,1,1,NA,NA,NA,NA,NA
OH,2014,000557,columbus arts & technology academy,0,4,20,3,27,1,0,0,0,NA,NA,NA,NA,NA
OH,2014,000558,columbus preparatory academy,0,0,0,34,34,1,1,1,0,NA,NA,NA,NA,NA
OH,2014,000559,orion academy,0,0,5,23,28,1,1,0,0,NA,NA,NA,NA,NA
OH,2014,000560,apex academy,0,0,4,18,22,1,1,0,0,NA,NA,NA,NA,NA
OH,2014,000564,"virtual schoolhouse, inc.",0,0,26,0,26,1,1,0,1,NA,NA,NA,NA,NA
OH,2014,000575,hope academy northwest campus,0,9,11,0,20,1,0,0,1,NA,NA,NA,NA,NA
OH,2014,000577,emerson academy,0,0,6,32,38,1,1,0,0,NA,NA,NA,NA,NA
OH,2014,000585,fci academy,0,9,9,0,18,1,0,0,1,NA,NA,NA,NA,NA
