year,localid,name,e4,e3,e2,e1,es,et
2013,1,barrington,212,41,2,NA,29,284
2013,10,east providence,199,171,17,5,24,416
2013,12,foster,10,12,NA,NA,3,25
2013,13,glocester,16,31,NA,NA,3,50
2013,15,jamestown,15,36,1,NA,0,52
2013,16,johnston,111,121,3,NA,17,252
2013,17,lincoln,139,111,2,NA,21,273
2013,18,little compton,20,11,1,NA,1,33
2013,19,middletown,154,26,1,NA,7,188
2013,20,narragansett,53,83,NA,NA,3,139
2013,21,newport,46,122,1,2,10,181
2013,22,new shoreham,6,17,1,1,4,29
2013,23,north kingstown,222,94,2,1,15,334
2013,24,north providence,149,99,4,NA,25,277
2013,25,north smithfield,81,62,NA,NA,4,147
2013,26,pawtucket,259,355,15,1,36,666
2013,27,portsmouth,70,119,3,NA,24,216
2013,28,providence,854,577,25,17,146,1619
2013,3,burrillville,76,91,1,NA,7,175
2013,30,scituate,59,60,NA,NA,10,129
2013,31,smithfield,83,96,6,NA,10,195
2013,32,south kingstown,132,142,3,1,19,297
2013,33,tiverton,86,75,1,NA,10,172
2013,35,warwick,490,361,2,2,34,889
2013,36,westerly,161,80,3,NA,28,272
2013,38,west warwick,210,33,NA,NA,26,269
2013,39,woonsocket,228,160,7,2,24,421
2013,4,central falls,129,34,NA,1,59,223
2013,40,davies career and tech,31,39,2,NA,2,74
2013,41,achievement first rhode island,6,4,NA,NA,4,14
2013,42,sheila skip nowell leadership academy,NA,7,1,NA,0,8
2013,46,segue institute for learning,14,11,1,NA,1,27
2013,47,"blackstone valley prep, a ri mayoral academy",27,59,1,NA,19,106
2013,48,highlander,9,20,NA,NA,1,30
2013,49,urban collaborative,3,5,NA,NA,4,12
2013,50,r.i. sch for the deaf,7,12,NA,NA,4,23
2013,51,paul cuffee charter sch,40,31,NA,NA,13,84
2013,52,kingston hill academy,1,15,NA,NA,1,17
2013,53,international charter,19,7,NA,NA,0,26
2013,54,blackstone academy,4,10,NA,NA,1,15
2013,55,the compass school,1,10,NA,1,4,16
2013,58,beacon charter school,12,7,NA,NA,4,23
2013,59,learning community,34,6,NA,NA,3,43
2013,6,coventry,277,90,4,1,34,406
2013,60,met career and tech,21,55,2,NA,5,83
2013,61,trinity academy for the performing arts,4,5,NA,1,1,11
2013,62,the greene school,1,15,NA,NA,4,20
2013,63,rhode island nurses institute middle college,NA,17,NA,1,1,19
2013,64,village green virtual,4,2,1,NA,0,7
2013,7,cranston,550,339,3,NA,69,961
2013,8,cumberland,154,175,6,NA,17,352
2013,9,east greenwich,134,42,1,NA,10,187
2013,96,bristol warren,87,165,5,4,10,271
2013,97,exeter-west greenwich,69,73,4,NA,8,154
2013,98,chariho,220,60,1,NA,18,299
2013,99,foster-glocester,65,36,1,NA,3,105
2014,1,barrington,51,28,1,NA,217,297
2014,10,east providence,62,78,7,4,324,475
2014,12,foster,10,2,1,NA,16,29
2014,13,glocester,8,6,NA,NA,42,56
2014,15,jamestown,9,16,NA,NA,34,59
2014,16,johnston,48,38,1,NA,216,303
2014,17,lincoln,39,41,2,NA,213,295
2014,18,little compton,6,3,NA,NA,30,39
2014,19,middletown,29,24,NA,1,153,207
2014,20,narragansett,13,28,NA,NA,119,160
2014,21,newport,18,30,1,NA,155,204
2014,22,new shoreham,5,8,NA,NA,16,29
2014,23,north kingstown,71,28,2,NA,281,382
2014,24,north providence,53,39,1,NA,229,322
2014,25,north smithfield,31,14,NA,NA,126,171
2014,26,pawtucket,99,124,7,3,505,738
2014,27,portsmouth,25,40,5,NA,172,242
2014,28,providence,287,323,17,12,1239,1878
2014,3,burrillville,26,18,NA,1,153,198
2014,30,scituate,70,68,NA,NA,2,140
2014,31,smithfield,28,38,6,NA,162,234
2014,32,south kingstown,45,38,1,NA,248,332
2014,33,tiverton,28,25,1,NA,143,197
2014,35,warwick,119,76,2,1,778,976
2014,36,westerly,25,35,3,NA,259,322
2014,38,west warwick,48,16,NA,NA,255,319
2014,39,woonsocket,58,88,7,3,354,510
2014,4,central falls,76,19,NA,NA,155,250
2014,40,davies career and tech,12,17,1,1,54,85
2014,41,achievement first rhode island,8,8,2,NA,4,22
2014,42,sheila skip nowell leadership academy,NA,6,5,NA,1,12
2014,46,segue institute for learning,8,13,NA,NA,5,26
2014,47,"blackstone valley prep, a ri mayoral academy",23,71,22,4,13,133
2014,48,highlander,2,9,NA,NA,24,35
2014,49,urban collaborative,NA,5,1,NA,8,14
2014,50,r.i. sch for the deaf,NA,NA,NA,NA,26,26
2014,51,paul cuffee charter sch,40,35,NA,2,9,86
2014,52,kingston hill academy,NA,3,NA,NA,13,16
2014,53,international charter,4,4,NA,NA,20,28
2014,54,blackstone academy,3,5,NA,NA,6,14
2014,55,the compass school,7,6,NA,NA,1,14
2014,58,beacon charter school,6,2,NA,NA,13,21
2014,59,learning community,19,3,NA,NA,27,49
2014,6,coventry,51,48,2,NA,340,441
2014,60,met career and tech,1,6,1,NA,78,86
2014,61,trinity academy for the performing arts,11,6,NA,NA,0,17
2014,62,the greene school,NA,13,2,NA,0,15
2014,63,rhode island nurses institute middle college,14,NA,NA,NA,13,27
2014,64,village green virtual,2,12,1,NA,0,15
2014,68,the hope academy,3,1,NA,NA,0,4
2014,7,cranston,166,103,1,NA,694,964
2014,8,cumberland,63,73,2,NA,278,416
2014,9,east greenwich,43,16,NA,NA,159,218
2014,96,bristol warren,39,61,1,NA,203,304
2014,97,exeter-west greenwich,12,32,2,1,124,171
2014,98,chariho,65,25,6,NA,240,336
2014,99,foster-glocester,16,8,NA,NA,86,110
2015,1,barrington,26,24,3,NA,239,292
2015,10,east providence,29,66,14,NA,384,493
2015,12,foster,12,2,NA,NA,12,26
2015,13,glocester,13,19,1,NA,23,56
2015,15,jamestown,17,20,NA,NA,20,57
2015,16,johnston,38,56,1,NA,223,318
2015,17,lincoln,46,79,7,NA,169,301
2015,18,little compton,8,7,NA,NA,18,33
2015,19,middletown,21,14,3,NA,171,209
2015,20,narragansett,9,11,NA,NA,135,155
2015,21,newport,29,27,3,NA,149,208
2015,22,new shoreham,8,7,1,NA,12,28
2015,23,north kingstown,96,45,3,1,239,384
2015,24,north providence,28,21,1,1,275,326
2015,25,north smithfield,27,41,1,NA,97,166
2015,26,pawtucket,121,121,3,1,500,746
2015,27,portsmouth,44,41,4,NA,149,238
2015,28,providence,176,215,13,9,1420,1833
2015,3,burrillville,59,38,1,NA,117,215
2015,30,scituate,18,16,1,NA,50,85
2015,31,smithfield,57,51,4,NA,127,239
2015,32,south kingstown,15,29,1,NA,286,331
