state,year,localid,name,e1,e2,e3,e4,es,et
NY,2013,010100010000,albany city school district,NA,NA,461,63,60,584
NY,2014,010100010000,albany city school district,NA,NA,310,243,23,576
NY,2015,010100010000,albany city school district,NA,NA,310,243,23,576
NY,2016,010100010000,albany city school district,NA,NA,328,289,27,644
NY,2013,010201040000,berne-knox-westerlo central school district,8,15,33,16,NA,72
NY,2014,010201040000,berne-knox-westerlo central school district,NA,NA,25,50,NA,75
NY,2015,010201040000,berne-knox-westerlo central school district,NA,NA,25,50,NA,75
NY,2016,010201040000,berne-knox-westerlo central school district,NA,NA,5,68,NA,73
NY,2013,010306060000,bethlehem central school district,NA,NA,177,110,35,322
NY,2014,010306060000,bethlehem central school district,NA,NA,NA,203,122,325
NY,2015,010306060000,bethlehem central school district,NA,NA,NA,203,122,325
NY,2016,010306060000,bethlehem central school district,NA,NA,NA,181,144,325
NY,2013,010402060000,ravena-coeymans-selkirk central school district,NA,NA,NA,150,27,177
NY,2014,010402060000,ravena-coeymans-selkirk central school district,NA,NA,19,137,NA,156
NY,2015,010402060000,ravena-coeymans-selkirk central school district,NA,NA,19,137,NA,156
NY,2016,010402060000,ravena-coeymans-selkirk central school district,NA,NA,13,154,6,173
NY,2013,010500010000,cohoes city school district,NA,NA,107,45,13,165
NY,2014,010500010000,cohoes city school district,NA,NA,74,82,7,163
NY,2015,010500010000,cohoes city school district,NA,NA,74,82,7,163
NY,2016,010500010000,cohoes city school district,NA,8,72,90,NA,170
NY,2013,010601060000,south colonie central school district,NA,NA,36,374,NA,410
NY,2014,010601060000,south colonie central school district,NA,NA,28,298,NA,326
NY,2015,010601060000,south colonie central school district,NA,NA,28,298,NA,326
NY,2016,010601060000,south colonie central school district,NA,NA,27,350,NA,377
NY,2013,010615020000,menands union free school district,NA,NA,12,11,NA,23
NY,2014,010615020000,menands union free school district,NA,NA,17,8,NA,25
NY,2015,010615020000,menands union free school district,NA,NA,17,8,NA,25
NY,2016,010615020000,menands union free school district,NA,NA,10,14,NA,24
NY,2013,010623060000,north colonie csd,NA,NA,60,359,NA,419
NY,2014,010623060000,north colonie csd,NA,NA,39,397,NA,436
NY,2015,010623060000,north colonie csd,NA,NA,39,397,NA,436
NY,2016,010623060000,north colonie csd,NA,NA,44,383,NA,427
NY,2013,010701030000,green island union free school district,NA,NA,23,NA,8,31
NY,2014,010701030000,green island union free school district,NA,NA,24,NA,8,32
NY,2015,010701030000,green island union free school district,NA,NA,24,NA,8,32
NY,2016,010701030000,green island union free school district,NA,NA,16,NA,13,29
NY,2013,010802060000,guilderland central school district,NA,24,130,238,NA,392
NY,2014,010802060000,guilderland central school district,NA,NA,62,316,NA,378
NY,2015,010802060000,guilderland central school district,NA,NA,62,316,NA,378
NY,2016,010802060000,guilderland central school district,NA,NA,NA,332,44,376
NY,2013,011003060000,voorheesville central school district,NA,NA,21,63,7,91
NY,2014,011003060000,voorheesville central school district,NA,NA,NA,75,15,90
NY,2015,011003060000,voorheesville central school district,NA,NA,NA,75,15,90
NY,2016,011003060000,voorheesville central school district,NA,NA,24,70,NA,94
NY,2013,011200010000,watervliet city school district,NA,12,83,6,NA,101
NY,2014,011200010000,watervliet city school district,NA,5,73,25,NA,103
NY,2015,011200010000,watervliet city school district,NA,5,73,25,NA,103
NY,2016,011200010000,watervliet city school district,NA,NA,NA,66,37,103
NY,2013,019000000000,albany-schoharie-schenectady-saratoga boces,NA,NA,NA,80,61,141
NY,2014,019000000000,albany-schoharie-schenectady-saratoga boces,NA,NA,NA,64,63,127
NY,2015,019000000000,albany-schoharie-schenectady-saratoga boces,NA,NA,NA,64,63,127
NY,2016,019000000000,albany-schoharie-schenectady-saratoga boces,NA,NA,71,NA,33,104
NY,2013,020101040000,alfred-almond central school district,NA,NA,24,25,6,55
NY,2014,020101040000,alfred-almond central school district,NA,NA,24,36,NA,60
NY,2015,020101040000,alfred-almond central school district,NA,NA,24,36,NA,60
NY,2013,020601040000,andover central school district,NA,NA,16,20,NA,36
NY,2014,020601040000,andover central school district,NA,NA,14,17,NA,31
NY,2015,020601040000,andover central school district,NA,NA,14,17,NA,31
NY,2016,020601040000,andover central school district,NA,NA,13,20,NA,33
NY,2013,020702040000,genesee valley central school district,7,6,22,15,NA,50
NY,2014,020702040000,genesee valley central school district,NA,NA,31,NA,24,55
NY,2015,020702040000,genesee valley central school district,NA,NA,31,NA,24,55
NY,2016,020702040000,genesee valley central school district,NA,NA,26,27,NA,53
NY,2013,020801040000,belfast central school district,NA,NA,23,NA,14,37
NY,2014,020801040000,belfast central school district,NA,NA,31,NA,7,38
NY,2015,020801040000,belfast central school district,NA,NA,31,NA,7,38
NY,2013,021102040000,canaseraga central school district,NA,NA,14,10,6,30
NY,2014,021102040000,canaseraga central school district,NA,NA,18,NA,12,30
NY,2015,021102040000,canaseraga central school district,NA,NA,18,NA,12,30
NY,2013,021601040000,friendship central school district,NA,NA,29,NA,5,34
NY,2014,021601040000,friendship central school district,NA,NA,NA,16,17,33
NY,2015,021601040000,friendship central school district,NA,NA,NA,16,17,33
NY,2016,021601040000,friendship central school district,NA,NA,21,13,NA,34
NY,2013,022001040000,fillmore central school district,NA,NA,23,38,NA,61
NY,2014,022001040000,fillmore central school district,NA,NA,NA,39,20,59
NY,2015,022001040000,fillmore central school district,NA,NA,NA,39,20,59
NY,2016,022001040000,fillmore central school district,NA,NA,13,44,NA,57
NY,2013,022101040000,whitesville central school district,NA,NA,NA,20,8,28
NY,2014,022101040000,whitesville central school district,NA,NA,NA,23,5,28
NY,2015,022101040000,whitesville central school district,NA,NA,NA,23,5,28
NY,2016,022101040000,whitesville central school district,NA,NA,NA,19,7,26
NY,2013,022302040000,cuba-rushford central school district,NA,NA,NA,42,38,80
NY,2014,022302040000,cuba-rushford central school district,NA,NA,21,51,NA,72
NY,2015,022302040000,cuba-rushford central school district,NA,NA,21,51,NA,72
NY,2016,022302040000,cuba-rushford central school district,NA,NA,NA,41,33,74
NY,2013,022401040000,scio central school district,NA,NA,23,NA,19,42
NY,2014,022401040000,scio central school district,NA,NA,12,29,NA,41
NY,2015,022401040000,scio central school district,NA,NA,12,29,NA,41
NY,2016,022401040000,scio central school district,NA,NA,6,35,NA,41
NY,2013,022601060000,wellsville central school district,NA,NA,68,NA,28,96
NY,2014,022601060000,wellsville central school district,NA,NA,NA,50,52,102
NY,2015,022601060000,wellsville central school district,NA,NA,NA,50,52,102
NY,2016,022601060000,wellsville central school district,NA,NA,60,42,NA,102
NY,2013,022902040000,bolivar-richburg central school district,NA,NA,45,NA,30,75
NY,2014,022902040000,bolivar-richburg central school district,NA,NA,38,39,NA,77
NY,2015,022902040000,bolivar-richburg central school district,NA,NA,38,39,NA,77
NY,2016,022902040000,bolivar-richburg central school district,NA,NA,36,41,NA,77
NY,2013,030101060000,chenango forks central school district,NA,NA,NA,52,51,103
NY,2014,030101060000,chenango forks central school district,NA,NA,8,100,NA,108
NY,2015,030101060000,chenango forks central school district,NA,NA,8,100,NA,108
NY,2016,030101060000,chenango forks central school district,NA,NA,15,104,NA,119
NY,2013,030200010000,binghamton city school district,5,53,242,187,NA,487
NY,2014,030200010000,binghamton city school district,NA,NA,344,108,14,466
NY,2015,030200010000,binghamton city school district,NA,NA,344,108,14,466
NY,2016,030200010000,binghamton city school district,NA,NA,339,130,9,478
NY,2013,030501040000,harpursville central school district,NA,NA,61,NA,22,83
NY,2014,030501040000,harpursville central school district,NA,NA,44,NA,35,79
NY,2015,030501040000,harpursville central school district,NA,NA,44,NA,35,79
NY,2013,030601060000,susquehanna valley central school district,NA,NA,149,NA,7,156
NY,2014,030601060000,susquehanna valley central school district,NA,NA,143,NA,14,157
NY,2015,030601060000,susquehanna valley central school district,NA,NA,143,NA,14,157
NY,2016,030601060000,susquehanna valley central school district,NA,8,136,NA,7,151
NY,2013,030701060000,chenango valley central school district,NA,NA,NA,91,35,126
NY,2014,030701060000,chenango valley central school district,NA,NA,NA,94,35,129
NY,2015,030701060000,chenango valley central school district,NA,NA,NA,94,35,129
NY,2013,031101060000,maine-endwell central school district,NA,NA,24,177,NA,201
NY,2014,031101060000,maine-endwell central school district,NA,NA,NA,112,66,178
NY,2015,031101060000,maine-endwell central school district,NA,NA,NA,112,66,178
NY,2016,031101060000,maine-endwell central school district,NA,NA,NA,140,40,180
NY,2013,031301040000,deposit central school district,NA,NA,NA,29,28,57
NY,2014,031301040000,deposit central school district,NA,NA,NA,40,15,55
NY,2015,031301040000,deposit central school district,NA,NA,NA,40,15,55
NY,2013,031401060000,whitney point central school district,NA,NA,NA,NA,123,123
NY,2014,031401060000,whitney point central school district,NA,NA,NA,81,47,128
NY,2015,031401060000,whitney point central school district,NA,NA,NA,81,47,128
NY,2016,031401060000,whitney point central school district,NA,NA,NA,73,55,128
NY,2013,031501060000,union-endicott central school district,NA,8,164,143,NA,315
NY,2014,031501060000,union-endicott central school district,NA,NA,47,272,NA,319
