name,localid
andover,1
ansonia,2
ashford,3
avon,4
berlin,7
bethany,8
bethel,9
bloomfield,11
bolton,12
bozrah,13
barkhamsted,5
branford,14
bridgeport,15
bristol,17
brookfield,18
brooklyn,19
canaan,21
canterbury,22
canton,23
chaplin,24
cheshire,25
chester,26
clinton,27
colchester,28
colebrook,29
columbia,30
cornwall,31
coventry,32
cromwell,33
danbury,34
darien,35
deep river,36
derby,37
east granby,40
east haddam,41
east hampton,42
east hartford,43
east haven,44
east lyme,45
east windsor,47
eastford,39
easton,46
ellington,48
enfield,49
essex,50
fairfield,51
farmington,52
franklin,53
glastonbury,54
granby,56
greenwich,57
griswold,58
groton,59
guilford,60
hamden,62
hampton,63
hartford,64
hartland,65
hebron,67
kent,68
killingly,69
lebanon,71
ledyard,72
lisbon,73
litchfield,74
manchester shool district,77
mansfield,78
marlborough,79
meriden,80
middletown,83
milford,84
monroe,85
montville,86
naugatuck,88
new britain,89
new canaan,90
new fairfield,91
new hartford,92
new haven,93
new london,95
new milford,96
newington,94
newtown,97
norfolk,98
north branford,99
north canaan,100
north haven,101
north stonington,102
norwalk,103
norwich,104
old saybrook,106
orange,107
oxford,108
plainfield,109
plainville,110
plymouth,111
pomfret,112
portland,113
preston,114
putnam,116
redding,117
regional 1,201
regional 10,210
regional 11,211
regional 12,212
regional 13,213
regional 14,214
regional 15,215
regional 16,216
regional 17,217
regional 18,218
regional 19,219
regional 4,204
regional 5,205
regional 6,206
regional 7,207
regional 8,208
regional 9,209
ridgefield,118
rocky hill,119
salem,121
salisbury,122
scotland,123
seymour,124
sharon,125
shelton,126
sherman,127
simsbury,128
somers,129
south windsor,132
southington,131
sprague,133
stafford,134
stamford,135
sterling,136
stonington,137
stratford,138
suffield,139
thomaston,140
thompson,141
tolland,142
torrington,143
trumbull,144
union,145
vernon,146
voluntown,147
wallingford,148
waterbury,151
waterford,152
watertown,153
west hartford,155
west haven,156
westbrook,154
weston,157
westport,158
wethersfield,159
willington,160
wilton,161
winchester,162
windham,163
windsor,164
windsor locks,165
wolcott,166
woodbridge,167
woodstock,169
